session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
06bc27ep,2euru7wb,06bc27ep_54P,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,viqtrc54,06bc27ep_01T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,6j62pp25,06bc27ep_78F,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,j32cj2x1,06bc27ep_04E,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,93losdk1,06bc27ep_96T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,90wf4ufr,06bc27ep_71X,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,h7ovgo0u,06bc27ep_68N,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,x7lssby1,06bc27ep_79K,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,thtr8apj,06bc27ep_22Y,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,n461zlys,06bc27ep_93T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,53jwhdxo,06bc27ep_38X,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,pbingdjv,06bc27ep_95P,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,9tr8mppd,06bc27ep_73P,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,104xa89j,06bc27ep_32U,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,9tt2u5h2,06bc27ep_92T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,6b2d8ljl,06bc27ep_77Q,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,r4ih6kop,06bc27ep_09L,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,kzh0io5t,06bc27ep_05L,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
06bc27ep,6vxv1qzr,06bc27ep_03M,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,j3cxjw7r,8scggp1g_34T,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,szictg7g,8scggp1g_29Z,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,geqz8t6v,8scggp1g_68C,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,ylnf2gk0,8scggp1g_89I,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,vd2eigoq,8scggp1g_63X,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,hewu6th4,8scggp1g_65B,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,3bq3gem6,8scggp1g_49H,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,0zp41clo,8scggp1g_04B,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,6d32u7n0,8scggp1g_30Q,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,k3y2u9rg,8scggp1g_89U,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,eaohxtui,8scggp1g_76H,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,ey5y2lmo,8scggp1g_24R,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,j4o8ebzr,8scggp1g_91S,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,ehrcvq4i,8scggp1g_15F,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,7l1at046,8scggp1g_26S,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,32i34oxj,8scggp1g_68B,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,824thln0,8scggp1g_54L,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,z01949m3,8scggp1g_89R,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,x9ciglob,8scggp1g_12J,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
8scggp1g,b7qv6e9q,8scggp1g_31M,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,ufqwtmnw,hm9kirhb_39U,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
hm9kirhb,dbajko0x,hm9kirhb_69V,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0
